"A Industrial classfication","TIME Period",T10 Value of shipments_total (14STD05053 In Million Won),T101 Value of products shipped (14STD05053 In Million Won),T102 Sales of by-product and waste (14STD05053 In Million Won),T103 Toll processing income (14STD05053 In Million Won),T104 Income from repair (14STD05053 In Million Won),T20 Gross output (14STD05053 In Million Won),T30 Value added (14STD05053 In Million Won),T40 Major production cost_total (14STD05053 In Million Won),T401 Expense from raw materials (14STD05053 In Million Won),T402 Fuel expense (14STD05053 In Million Won),T403 Electricity cost (14STD05053 In Million Won),T404 Water expense (14STD05053 In Million Won),T405 Outsourced processing fee (14STD05053 In Million Won),T406 Mending fee (14STD05053 In Million Won),T50 Business expenses (14STD05053 In Million Won)
"0620 Mining of non-ferrous metal ores","5Y2020 2020",27062,27062,0,0,0,27296,19891,7405,1752,938,1429,0,3220,66,0
"06200 Mining of non-ferrous metal ores","5Y2020 2020",27062,27062,0,0,0,27296,19891,7405,1752,938,1429,0,3220,66,0
"07 Mining of non-metallic minerals, except fuel","5Y2020 2020",2646467,2611360,13352,21725,30,2650846,1853772,797074,463722,70781,120379,2856,70918,68418,79094
"071 Quarrying of stone, sand and clay","5Y2020 2020",2570067,2534960,13352,21725,30,2574723,1800935,773788,449807,69066,116722,2799,68491,66903,78123
"0711 Quarrying of limestone, gypsum and clays","5Y2020 2020",604812,594843,7755,2214,0,604744,423545,181199,74257,34750,27741,508,31103,12840,6703
"07110 Quarrying of limestone, gypsum and clays","5Y2020 2020",604812,594843,7755,2214,0,604744,423545,181199,74257,34750,27741,508,31103,12840,6703
"0712 Quarrying of stone, broken stone, sand and gravel","5Y2020 2020",1965255,1940117,5597,19511,30,1969979,1377390,592589,375550,34316,88981,2291,37388,54063,71420
"07121 Quarrying, cruhsing and breaking of stone for construction","5Y2020 2020",1492879,1476245,5087,11547,0,1496274,1066007,430267,272063,26069,66831,1094,34602,29608,27063
"07122 Quarrying of sand and gravel","5Y2020 2020",472376,463872,510,7964,30,473705,311383,162322,103487,8247,22150,1197,2786,24455,44357
"072 Mining of other non-metal ores","5Y2020 2020",76400,76400,0,0,0,76123,52837,23286,13915,1715,3657,57,2427,1515,971
"0721 Mining of chemical and fertilizer minerals","5Y2020 2020",8953,8953,0,0,0,11305,8555,2750,1452,538,404,12,0,344,0
"07210 Mining of chemical and fertilizer minerals","5Y2020 2020",8953,8953,0,0,0,11305,8555,2750,1452,538,404,12,0,344,0
"0722 Extraction of salt","5Y2020 2020",23999,23999,0,0,0,23689,11479,12210,8980,203,546,2,2209,270,971
"07220 Extraction of salt","5Y2020 2020",23999,23999,0,0,0,23689,11479,12210,8980,203,546,2,2209,270,971
"0729 Mining of other non-metal ores n.e.c.","5Y2020 2020",43448,43448,0,0,0,41129,32803,8326,3483,974,2707,43,218,901,0
"07290 Mining of other non-metal ores n.e.c.","5Y2020 2020",43448,43448,0,0,0,41129,32803,8326,3483,974,2707,43,218,901,0
"08 Mining support service activities","5Y2020 2020",85332,85332,0,0,0,85332,85055,277,0,145,0,0,0,132,1590211
"080 Mining support service activities","5Y2020 2020",85332,85332,0,0,0,85332,85055,277,0,145,0,0,0,132,1590211
"0800 Mining support service activities","5Y2020 2020",85332,85332,0,0,0,85332,85055,277,0,145,0,0,0,132,1590211
"08000 Mining support service activities","5Y2020 2020",85332,85332,0,0,0,85332,85055,277,0,145,0,0,0,132,1590211
"C Manufacturing","5Y2020 2020",1498794446,1452850368,8870051,34206987,2867040,1496970547,551869771,945100776,800732970,13922795,24729646,2376231,90007644,13331490,98428531
"10 Manufacture of food products","5Y2020 2020",90540474,88708463,242124,1476286,113601,90729319,32500738,58228581,54374801,647076,1030253,206959,1520791,448701,4485033
"101 Slaughtering of livestock, processing and preserving of meat and meat products","5Y2020 2020",18635997,17883084,58126,694089,698,18634567,4804838,13829729,13091441,64209,164565,51434,388118,69962,957464
"1011 Slaughtering of livestock","5Y2020 2020",6950862,6434244,36268,479676,674,6947635,1612480,5335155,4956783,39287,81536,31460,185212,40877,266864
"10111 Slaughtering of livestock(except poultry)","5Y2020 2020",3132907,2685548,27897,418788,674,3133242,868042,2265200,2142638,13759,32121,11915,50644,14123,117693
"10112 Slaughtering of poultry","5Y2020 2020",3817955,3748696,8371,60888,0,3814393,744438,3069955,2814145,25528,49415,19545,134568,26754,149171
"1012 Processing, preserving of meat and meat products","5Y2020 2020",11685135,11448840,21858,214413,24,11686932,3192358,8494574,8134658,24922,83029,19974,202906,29085,690600
"10121 Processing, preserving of poultry products","5Y2020 2020",2446821,2332877,7476,106468,0,2450592,769313,1681279,1556094,5663,25969,4571,81590,7392,260383
"10122 Cutting in individuals, freezing and packaging of meat(except poultry)","5Y2020 2020",5814169,5715797,14328,84020,24,5815424,1185112,4630312,4532236,3398,20674,3751,63583,6670,318313
"10129 Processing and preserving of other meat and meat products(except poultry)","5Y2020 2020",3424145,3400166,54,23925,0,3420916,1237933,2182983,2046328,15861,36386,11652,57733,15023,111904
"102 Processing and preserving of fish, crustaceans, molluscs and seaweeds","5Y2020 2020",7116994,6995722,9619,111561,92,7138522,2521205,4617317,4327883,37947,91972,8682,120646,30187,780647
"1021 Processing and preserving of aquatic animals","5Y2020 2020",5121776,5037309,9120,75255,92,5136067,1859139,3276928,3096314,31105,59787,6977,59449,23296,658087
"10211 Manufacture of smoked, seasoned and similar prepared aquatic animal products","5Y2020 2020",2414789,2363730,6975,43994,90,2424033,983081,1440952,1341987,18690,29833,3819,36418,10205,113095
"10212 Manufacture of dried, salted aquatic animal products","5Y2020 2020",957716,949405,207,8104,0,966708,390164,576544,539957,9333,12933,1079,5127,8115,59229
"10213 Manufacture of frozen aquatic animal products","5Y2020 2020",1084167,1066063,1862,16240,2,1079273,304757,774516,746033,1591,10614,1225,11853,3200,334573
"10219 Processing and preserving of other aquatic animals","5Y2020 2020",665104,658111,76,6917,0,666053,181137,484916,468337,1491,6407,854,6051,1776,151190
"1022 Processing and preserving of edible seaweeds","5Y2020 2020",1995218,1958413,499,36306,0,2002455,662066,1340389,1231569,6842,32185,1705,61197,6891,122560
"10220 Processing and preserving of edible seaweeds","5Y2020 2020",1995218,1958413,499,36306,0,2002455,662066,1340389,1231569,6842,32185,1705,61197,6891,122560
"103 Processing and preserving of fruit and vegetables","5Y2020 2020",3895329,3834093,7842,53356,38,3918486,1623980,2294506,2148639,16229,38922,6880,68606,15230,328368
"1030 Processing and preserving of fruit and vegetables","5Y2020 2020",3895329,3834093,7842,53356,38,3918486,1623980,2294506,2148639,16229,38922,6880,68606,15230,328368
"10301 Manufacture of kimchi, korean picked vegetables","5Y2020 2020",1477074,1457118,47,19871,38,1481977,609461,872516,828362,3781,13908,3649,17296,5520,32839
"10302 Manufacture of pickled fruit and other vegetables","5Y2020 2020",595591,583377,667,11547,0,596152,264697,331455,314111,2762,6213,735,5039,2595,71979
"10309 Processing and preserving of other fruits and vegetables","5Y2020 2020",1822664,1793598,7128,21938,0,1840357,749822,1090535,1006166,9686,18801,2496,46271,7115,223550
"104 Manufacture of vegetable and animal oils and fats","5Y2020 2020",2267088,2247734,15198,4125,31,2270802,543992,1726810,1630532,38393,20650,5246,19334,12655,74716
"1040 Manufacture of vegetable and animal oils and fats","5Y2020 2020",2267088,2247734,15198,4125,31,2270802,543992,1726810,1630532,38393,20650,5246,19334,12655,74716
"10401 Manufacture of animal oils and fats","5Y2020 2020",338188,333231,1306,3620,31,337517,113523,223994,200183,12811,5495,979,2360,2166,29425
"10402 Manufacture of vegetable oils and fats","5Y2020 2020",1034454,1029120,4878,456,0,1035908,220536,815372,775273,14998,8943,1067,8953,6138,41372
"10403 Manufacture of edible refined oils and processed oils","5Y2020 2020",894446,885383,9014,49,0,897377,209933,687444,655076,10584,6212,3200,8021,4351,3919
"105 Manufacture of dairy products and edible ice cakes","5Y2020 2020",8341924,8216625,6991,113912,4396,8466813,3410651,5056162,4812277,51725,88909,19895,33215,50141,319320
"1050 Manufacture of dairy products and edible ice cakes","5Y2020 2020",8341924,8216625,6991,113912,4396,8466813,3410651,5056162,4812277,51725,88909,19895,33215,50141,319320
"10501 Manufacture of liquid milk and other dairy products","5Y2020 2020",7067157,6959997,6991,95773,4396,7190706,2873081,4317625,4119693,43205,67314,17393,28130,41890,315637
"10502 Manufacture of ice-cream and other edible ice cakes","5Y2020 2020",1274767,1256628,0,18139,0,1276107,537570,738537,692584,8520,21595,2502,5085,8251,3683
"106 Manufacture of grain mill products, starches and starch products","5Y2020 2020",6101657,5945897,112978,42762,20,6110380,1786184,4324196,4029209,78945,104069,22795,54507,34671,129841
"1061 Manufacture of grain mill products","5Y2020 2020",4825076,4734732,49575,40749,20,4842056,1421537,3420519,3267379,18039,51071,11381,52344,20305,103114
"10611 Polishing of cereals","5Y2020 2020",1643466,1601295,8563,33588,20,1655563,244863,1410700,1393160,1967,6404,422,5300,3447,35199
"10612 Milling of cereals","5Y2020 2020",1680870,1639299,40591,980,0,1679397,419176,1260221,1209350,3466,26154,7520,5952,7779,24708
"10613 Manufacture of cereal mixes and doughs","5Y2020 2020",578486,572422,2,6062,0,581640,303771,277869,258916,2738,8058,1786,3987,2384,14023
"10619 Manufacture of other grain mill products","5Y2020 2020",922254,921716,419,119,0,925456,453727,471729,405953,9868,10455,1653,37105,6695,29184
"1062 Manufacture of starches and starch products","5Y2020 2020",1276581,1211165,63403,2013,0,1268324,364647,903677,761830,60906,52998,11414,2163,14366,26727
"10620 Manufacture of starches and starch products","5Y2020 2020",1276581,1211165,63403,2013,0,1268324,364647,903677,761830,60906,52998,11414,2163,14366,26727
"107 Manufacture of other food products","5Y2020 2020",33705282,33276825,14076,306067,108314,33701642,15275949,18425693,16695399,300571,400943,74571,761308,192901,1394503
"1071 Manufacture of rice cakes, bakery products and sugar confectioneries","5Y2020 2020",7539073,7468776,6491,63806,0,7543287,4523551,3019736,2746032,52215,96761,12381,74298,38049,269205
"10711 Manufacture of rice cakes","5Y2020 2020",544364,542903,0,1461,0,546947,284242,262705,230925,5286,10261,1101,12413,2719,17100
"10712 Manufacture of bakery products","5Y2020 2020",3071244,3026780,1800,42664,0,3080000,1911339,1168661,1077319,14863,38973,5119,20651,11736,178097
"10713 Manufacture of sugar confectioneries and cocoa products","5Y2020 2020",3923465,3899093,4691,19681,0,3916340,2327970,1588370,1437788,32066,47527,6161,41234,23594,74008
"1072 Manufacture of sugar","5Y2020 2020",1437524,1434829,2695,0,0,1444696,461228,983468,920538,37169,9680,2061,5041,8979,0
"10720 Manufacture of sugar","5Y2020 2020",1437524,1434829,2695,0,0,1444696,461228,983468,920538,37169,9680,2061,5041,8979,0
"1073 Manufacture of noodles, macaroni and similar farinaceous products","5Y2020 2020",3200288,3175973,1756,22559,0,3197145,1248209,1948936,1815527,49352,34810,3878,15853,29516,40948
"10730 Manufacture of noodles, macaroni and similar farinaceous products","5Y2020 2020",3200288,3175973,1756,22559,0,3197145,1248209,1948936,1815527,49352,34810,3878,15853,29516,40948
"1074 Manufacture of condiments and food additive products","5Y2020 2020",6625756,6570025,573,52162,2996,6653993,2822397,3831596,3581425,52828,77352,17234,60197,42560,464063
"10741 Manufacture of vinegar,fermentation and chemical seasionings","5Y2020 2020",179896,179896,0,0,0,178671,90181,88490,62237,8641,11415,3865,279,2053,261
"10742 Manufacture of natural processed spices and mixed condiments","5Y2020 2020",4752333,4729065,213,20537,2518,4768269,1896472,2871797,2720409,28546,46278,9612,40863,26089,234073
"10743 Manufacture of soy sauce and soy bean paste","5Y2020 2020",1032310,1005124,360,26826,0,1040987,540700,500287,457055,6891,10290,2265,14945,8841,188364
"10749 Manufacture of other food additive products","5Y2020 2020",661217,655940,0,4799,478,666066,295044,371022,341724,8750,9369,1492,4110,5577,41365
"1075 Manufacture of box lunches and prepared meals and dishes","5Y2020 2020",6527390,6460650,434,65552,754,6505749,2814744,3691005,3360704,52785,79242,17723,157434,23117,273784
"10751 Manufacture of box lunches","5Y2020 2020",1222840,1195015,28,27071,726,1221296,499910,721386,645481,7648,9257,4637,51240,3123,15588
"10759 Manufacture of other prepared meals and dishes","5Y2020 2020",5304550,5265635,406,38481,28,5284453,2314834,2969619,2715223,45137,69985,13086,106194,19994,258196
"1079 Manufacture of other food products","5Y2020 2020",8375251,8166572,2127,101988,104564,8356772,3405820,4950952,4271173,56222,103098,21294,448485,50680,346503
"10791 Processing of coffee","5Y2020 2020",1685566,1557954,1379,21669,104564,1690123,687439,1002684,910338,18533,25656,3655,28750,15752,25220
"10792 Processing of tea","5Y2020 2020",568495,562129,190,6176,0,575084,255411,319673,297716,2462,5750,808,9747,3190,29080
"10793 Manufacture of soups and food containing homogenized ingredients","5Y2020 2020",764957,761025,167,3765,0,771607,430977,340630,294358,3032,5372,1769,31711,4388,29714
"10794 Manufacture of bean curd and similar products","5Y2020 2020",640106,636797,264,3045,0,640390,290377,350013,296987,14388,16243,6539,6914,8942,34376
"10795 Manufacture of ginseng products","5Y2020 2020",1172395,1154542,6,17847,0,1128326,259883,868443,674877,5191,8132,1541,173055,5647,58053
"10796 Manufacture of liquidized health additive foods","5Y2020 2020",357353,346965,21,10367,0,362141,178866,183275,161672,2003,4864,853,12756,1127,13311
"10797 Manufacture of health functional foods","5Y2020 2020",2650152,2612865,50,37237,0,2657946,1137858,1520088,1288626,6872,28053,4683,183138,8716,137868
"10799 Manufacture of other food products n.e.c.","5Y2020 2020",536227,534295,50,1882,0,531155,165009,366146,346599,3741,9028,1446,2414,2918,18881
"108 Manufacture of prepared animal feeds and feed additives","5Y2020 2020",10476203,10308483,17294,150414,12,10488107,2533939,7954168,7639421,59057,120223,17456,75057,42954,500174
"1080 Manufacture of livestock feeds and prepared animal feeds","5Y2020 2020",10476203,10308483,17294,150414,12,10488107,2533939,7954168,7639421,59057,120223,17456,75057,42954,500174
"10801 Manufacture of formula feeds","5Y2020 2020",9788684,9632076,10300,146296,12,9794397,2283493,7510904,7261642,36827,93308,14639,66778,37710,366978
"10802 Manufacture of single ingredients and other prepared animal feeds","5Y2020 2020",687519,676407,6994,4118,0,693710,250446,443264,377779,22230,26915,2817,8279,5244,133196
"11 Manufacture of beverages","5Y2020 2020",11706303,11545842,15401,145055,5,11774961,6705715,5069246,4545953,113320,124335,28589,159647,97402,310449
"111 Manufacture of alcoholic beverages","5Y2020 2020",5202238,5194454,7784,0,0,5205252,3436233,1769019,1600933,58864,45735,14656,16442,32389,23201
"1111 Manufacture of other fermented alcoholic beverages","5Y2020 2020",2485757,2485752,5,0,0,2485639,1724029,761610,689827,22926,26457,4060,754,17586,17920
"11111 Manufacture of raw rice wines and refined rice wines","5Y2020 2020",382101,382096,5,0,0,380337,239592,140745,130020,2527,4634,1061,300,2203,0
"11112 Manufacture of malt and malt liquors","5Y2020 2020",2092821,2092821,0,0,0,2094417,1478895,615522,554668,20356,21706,2996,438,15358,13993
"11119 Manufacture of other fermented alcoholic beverages","5Y2020 2020",10835,10835,0,0,0,10885,5542,5343,5139,43,117,3,16,25,3927
"1112 Manufacture of distilled and compound liquors","5Y2020 2020",2716481,2708702,7779,0,0,2719613,1712204,1007409,911106,35938,19278,10596,15688,14803,5281
"11121 Manufacture of ethyl alcohol and neutral spirits","5Y2020 2020",615877,609268,6609,0,0,617835,264173,353662,298861,29410,9576,3300,4469,8046,5281
"11122 Manufacture of blended and distilled soju","5Y2020 2020",1982552,1981382,1170,0,0,1985057,1367772,617285,580810,6511,9602,7296,6400,6666,0
"11129 Manufacture of other distilled and compound liquors","5Y2020 2020",118052,118052,0,0,0,116721,80259,36462,31435,17,100,0,4819,91,0
"112 Manufacture of ice and non-alcoholic beverages; production of mineral waters","5Y2020 2020",6504065,6351388,7617,145055,5,6569709,3269482,3300227,2945020,54456,78600,13933,143205,65013,287248
"1120 Manufacture of ice and non-alcoholic beverages; production of mineral waters","5Y2020 2020",6504065,6351388,7617,145055,5,6569709,3269482,3300227,2945020,54456,78600,13933,143205,65013,287248
"11201 Manufacture of ice, except dry ice","5Y2020 2020",96893,96630,0,263,0,97310,65351,31959,22991,606,6477,641,50,1194,13303
"11202 Production of natural mineral waters and other bottled waters","5Y2020 2020",921165,891441,1165,28559,0,921515,595030,326485,270455,4285,20928,2546,10242,18029,30799
"11209 Manufacture of other non-alcoholic beverages","5Y2020 2020",5486007,5363317,6452,116233,5,5550884,2609101,2941783,2651574,49565,51195,10746,132913,45790,243146
"12 Manufacture of tobacco products","5Y2020 2020",3578833,3535051,43782,0,0,3608397,2126623,1481774,1421197,9777,16696,2531,548,31025,0
"120 Manufacture of tobacco products","5Y2020 2020",3578833,3535051,43782,0,0,3608397,2126623,1481774,1421197,9777,16696,2531,548,31025,0
"1200 Manufacture of tobacco products","5Y2020 2020",3578833,3535051,43782,0,0,3608397,2126623,1481774,1421197,9777,16696,2531,548,31025,0
"12000 Manufacture of tobacco products","5Y2020 2020",3578833,3535051,43782,0,0,3608397,2126623,1481774,1421197,9777,16696,2531,548,31025,0
"13 Manufacture of textiles, except apparel","5Y2020 2020",19568365,17437874,15397,2113731,1363,19570356,8390831,11179525,8623861,251235,459370,46463,1691396,107200,1278263
"131 Spinning of textiles and processing of threads and yarns","5Y2020 2020",1664026,1540431,3507,120025,63,1631892,559394,1072498,877072,9266,86560,1059,90502,8039,219393
"1310 Spinning of textiles and processing of threads and yarns","5Y2020 2020",1664026,1540431,3507,120025,63,1631892,559394,1072498,877072,9266,86560,1059,90502,8039,219393
"13101 Spinning of cotton","5Y2020 2020",565139,554118,3052,7969,0,540884,163958,376926,308763,4046,35628,294,25672,2523,165175
"13102 Spinning of wool","5Y2020 2020",196612,190395,11,6206,0,194916,66237,128679,112113,470,3362,53,12145,536,9320
"13103 Spinning of man-made fibers","5Y2020 2020",455751,401485,303,53963,0,454964,167724,287240,236693,3612,20535,350,23984,2066,20048
"13104 Manufacture of twisted threads and processing of threads and yarns","5Y2020 2020",445773,393682,141,51887,63,440377,160741,279636,219503,1138,27035,362,28684,2914,24850
"13109 Spinning of other textile fibers","5Y2020 2020",751,751,0,0,0,751,734,17,0,0,0,0,17,0,0
"132 Weaving of textiles and manufacture of textile products","5Y2020 2020",8315695,8014638,4974,295419,664,8359040,3396219,4962821,3879571,31183,114467,9575,898871,29154,458138
"1321 Weaving of textiles","5Y2020 2020",3136797,2957003,4696,175098,0,3121631,1191895,1929736,1351244,23785,81440,6897,452259,14111,115877
"13211 Weaving of cotton fabrics","5Y2020 2020",605546,556532,265,48749,0,596695,188719,407976,260631,3569,15340,539,126642,1255,10702
"13212 Weaving of woolen fabrics","5Y2020 2020",148589,132583,4,16002,0,149361,64831,84530,55103,2973,3467,586,21884,517,9260
"13213 Weaving of man-made fiber fabrics","5Y2020 2020",1623003,1521611,596,100796,0,1612376,585548,1026828,741919,6585,46773,3395,221234,6922,94285
"13219 Weaving of special textiles and other fabrics","5Y2020 2020",759659,746277,3831,9551,0,763199,352797,410402,293591,10658,15860,2377,82499,5417,1630
"1322 Manufacture of textile products","5Y2020 2020",5178898,5057635,278,120321,664,5237409,2204324,3033085,2528327,7398,33027,2678,446612,15043,342261
"13221 Manufacture of bedding and related products","5Y2020 2020",926947,893737,0,33210,0,933215,394296,538919,419013,1880,4152,824,111498,1552,62209
"13222 Manufacture of embroidery products and related materials","5Y2020 2020",57498,46093,0,11405,0,57727,31103,26624,21121,35,327,3,4976,162,10
"13223 Manufacture of curtains and similar goods","5Y2020 2020",474727,464981,0,9746,0,476913,184118,292795,251260,1073,4863,819,33049,1731,33342
"13224 Manufacture of tarpaulin products, tents and similar goods","5Y2020 2020",615998,596373,273,19346,6,609670,188017,421653,359393,589,8381,87,51901,1302,60138
"13225 Manufacture of textile bags","5Y2020 2020",167666,166451,5,1210,0,167910,39594,128316,109718,97,3501,14,14567,419,7569
"13229 Manufacture of other household made-up textile articles","5Y2020 2020",2936062,2890000,0,45404,658,2991974,1367196,1624778,1367822,3724,11803,931,230621,9877,178993
"133 Manufacture of knitted and crocheted fabrics","5Y2020 2020",735526,695605,0,39921,0,735204,215561,519643,357305,481,6140,617,153511,1589,23683
"1330 Manufacture of knitted and crocheted fabrics","5Y2020 2020",735526,695605,0,39921,0,735204,215561,519643,357305,481,6140,617,153511,1589,23683
"13300 Manufacture of knitted and crocheted fabrics","5Y2020 2020",735526,695605,0,39921,0,735204,215561,519643,357305,481,6140,617,153511,1589,23683
"134 Dyeing and finishing of textiles and wearing apparel","5Y2020 2020",2917033,1387448,237,1529348,0,2936599,1512745,1423854,899988,161851,119964,28150,193654,20247,139292
"1340 Dyeing and finishing of textiles and wearing apparel","5Y2020 2020",2917033,1387448,237,1529348,0,2936599,1512745,1423854,899988,161851,119964,28150,193654,20247,139292
"13401 Dyeing and finishing of cotton wools and yarns","5Y2020 2020",206446,93599,0,112847,0,208319,112119,96200,61456,12171,9412,5115,7090,956,6551
"13402 Dyeing and finishing of woven and knitted fabrics, including wearing apparel","5Y2020 2020",1844243,877333,237,966673,0,1843875,937304,906571,571992,115502,82322,18717,104778,13260,39589
"13403 Printing of textiles","5Y2020 2020",521546,350347,0,171199,0,540708,262887,277821,185505,14934,13885,3602,57082,2813,92443
"13409 Other finishing of textiles and wearing apparel","5Y2020 2020",344798,66169,0,278629,0,343697,200435,143262,81035,19244,14345,716,24704,3218,709
"139 Manufacture of other made-up textile articles, except apparel","5Y2020 2020",5936085,5799752,6679,129018,636,5907621,2706912,3200709,2609925,48454,132239,7062,354858,48171,437757
"1391 Manufacture of carpets, rugs and similar products","5Y2020 2020",208157,204606,642,2909,0,205127,82169,122958,76371,1046,4295,78,39458,1710,15188
"13910 Manufacture of carpets, rugs and similar products","5Y2020 2020",208157,204606,642,2909,0,205127,82169,122958,76371,1046,4295,78,39458,1710,15188
"1392 Manufacture of cordage, rope, twine and netting","5Y2020 2020",531785,515392,917,14880,596,525675,210563,315112,276580,750,8998,695,26383,1706,83028
"13921 Manufacture of cordage and rope","5Y2020 2020",232020,218208,911,12305,596,228744,92327,136417,122229,190,5820,596,6703,879,62417
"13922 Manufacture of fishing nets and other products of rope or netting","5Y2020 2020",299765,297184,6,2575,0,296931,118236,178695,154351,560,3178,99,19680,827,20611
"1399 Manufacture of other textiles n.e.c.","5Y2020 2020",5196143,5079754,5120,111229,40,5176819,2414180,2762639,2256974,46658,118946,6289,289017,44755,339541
"13991 Manufacture of narrow woven fabrics","5Y2020 2020",212455,205043,0,7372,40,214137,93621,120516,97786,220,2642,168,18512,1188,30169
"13992 Manufacture of other non-woven and felt fabrics","5Y2020 2020",2626572,2608514,235,17823,0,2663380,1383151,1280229,1099339,9506,31403,1187,128393,10401,64799
"13993 Manufacture of special yarns and tire cord fabrics","5Y2020 2020",1036588,1016913,4804,14871,0,973598,409403,564195,394291,27513,58620,2424,54024,27323,196892
"13994 Manufacture of impregnated, coated, covered or laminated fabrics","5Y2020 2020",503068,439506,0,63562,0,503044,212345,290699,236005,3833,8916,881,38860,2204,24639
"13999 Manufacture of other textiles n.e.c.","5Y2020 2020",817460,809778,81,7601,0,822660,315660,507000,429553,5586,17365,1629,49228,3639,23042
"14 Manufacture of wearing apparel, clothing accessories and fur articles","5Y2020 2020",14905734,13913782,18,989354,2580,14743425,6840408,7903017,4388790,16353,32675,6853,3431995,26351,3309442
"141 Manufacture of sewn wearing apparel, except fur apparel","5Y2020 2020",13400879,12556707,0,841592,2580,13252890,6270379,6982511,3766111,13708,23651,5128,3149690,24223,2987414
"1411 Manufacture of outerwear","5Y2020 2020",7031855,6718045,0,313542,268,6996418,3307327,3689091,1950671,7581,12221,1287,1700295,17036,2638702
"14111 Manufacture of outerwear for men","5Y2020 2020",2682942,2573053,0,109889,0,2637935,912886,1725049,897160,1605,7885,339,807748,10312,1228759
"14112 Manufacture of outerwear for women","5Y2020 2020",4348913,4144992,0,203653,268,4358483,2394441,1964042,1053511,5976,4336,948,892547,6724,1409943
"1412 Manufacture of underwear and nightwear","5Y2020 2020",507334,443051,0,64283,0,499074,224863,274211,136840,2479,763,22,133148,959,22531
"14120 Manufacture of underwear and nightwear","5Y2020 2020",507334,443051,0,64283,0,499074,224863,274211,136840,2479,763,22,133148,959,22531
"1413 Manufacture of hanbok, korean traditional clothes","5Y2020 2020",5241,4841,0,400,0,4420,2747,1673,940,3,37,10,660,23,753
"14130 Manufacture of hanbok, korean traditional clothes","5Y2020 2020",5241,4841,0,400,0,4420,2747,1673,940,3,37,10,660,23,753
"1419 Manufacture of other sewn wearing apparel","5Y2020 2020",5856449,5390770,0,463367,2312,5752978,2735442,3017536,1677660,3645,10630,3809,1315587,6205,325428
"14191 Manufacture of shirts and blouses","5Y2020 2020",2161763,1896573,0,265190,0,2122175,1111813,1010362,497640,1170,3452,1882,503359,2859,116066
"14192 Manufacture of work wear and similar garments","5Y2020 2020",2891385,2717949,0,171690,1746,2833114,1190071,1643043,985653,2057,6204,1853,644793,2483,153615
"14193 Manufacture of leather garments","5Y2020 2020",64956,59094,0,5862,0,64841,25290,39551,32999,11,96,6,6428,11,24
"14194 Manufacture of babies' garments","5Y2020 2020",659412,647080,0,12332,0,648943,374639,274304,119608,335,558,58,153075,670,47216
"14199 Manufacture of other sewn wearing apparel n.e.c.","5Y2020 2020",78933,70074,0,8293,566,83905,33629,50276,41760,72,320,10,7932,182,8507
